City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Cap Malheureux,MU,2022-03-09 23:54:17,-19.9842,57.6142,77.49,88,20,3.0
165,Balykshi,KZ,2022-03-09 23:54:17,47.0667,51.8667,39.2,81,75,13.42
166,Ilulissat,GL,2022-03-09 23:54:18,69.2167,-51.1,-12.91,84,99,5.75
167,Faanui,PF,2022-03-09 23:54:19,-16.4833,-151.75,80.96,73,28,13.42
168,Hermanus,ZA,2022-03-09 23:54:19,-34.4187,19.2345,67.89,89,84,8.41
169,Umm Lajj,SA,2022-03-09 23:54:19,25.0213,37.2685,73.56,76,39,7.96
170,Tukan,RU,2022-03-09 23:54:20,53.8409,57.4552,6.69,98,100,2.26
171,Port-Gentil,GA,2022-03-09 23:54:20,-0.7193,8.7815,84.16,84,40,9.22
172,Kushmurun,KZ,2022-03-09 23:54:21,52.4503,64.6311,5.47,95,100,8.34
173,Komsomolskiy,UZ,2022-03-09 23:54:21,40.4272,71.7189,45.32,76,71,4.61
174,Boddam,GB,2022-03-09 23:54:21,57.4667,-1.7833,45.09,88,100,20.4
175,Ler,SS,2022-03-09 23:54:22,8.3018,30.1418,88.16,31,64,3.06
176,Narsaq,GL,2022-03-09 23:54:22,60.9167,-46.05,-0.53,75,2,6.24
177,Vaini,TO,2022-03-09 23:54:23,-21.2,-175.2,82.56,83,75,8.05
178,Mareeba,AU,2022-03-09 23:54:23,-17.0,145.4333,88.48,79,97,2.26
179,Khatanga,RU,2022-03-09 23:54:24,71.9667,102.5,-7.04,95,100,5.48
180,New Norfolk,AU,2022-03-09 23:54:24,-42.7826,147.0587,60.3,49,22,1.99
181,Abu Samrah,SY,2022-03-09 23:54:25,35.3029,37.1841,47.46,88,25,14.23
182,Carlsbad,US,2022-03-09 23:53:50,33.1581,-117.3506,69.98,65,0,10.36
183,Tahe,CN,2022-03-09 23:55:25,52.3333,124.7333,29.16,82,87,8.01
184,Qingyuan,CN,2022-03-09 23:55:26,23.7,113.0333,60.78,64,7,1.07
185,San Cristobal,VE,2022-03-09 23:55:26,7.7669,-72.225,71.78,85,93,1.12
186,Paita,PE,2022-03-09 23:55:27,-5.0892,-81.1144,82.96,75,77,14.52
187,Raiganj,IN,2022-03-09 23:55:27,25.6167,88.1167,66.51,32,2,6.2
188,Irece,BR,2022-03-09 23:55:27,-11.3042,-41.8558,72.57,71,81,10.4
189,Kapaa,US,2022-03-09 23:55:28,22.0752,-159.319,80.58,67,34,5.99
190,Talcahuano,CL,2022-03-09 23:55:28,-36.7167,-73.1167,64.08,55,0,17.27
191,Sakakah,SA,2022-03-09 23:55:29,29.9697,40.2064,67.57,35,6,7.11
192,San Quintin,MX,2022-03-09 23:55:29,30.4833,-115.95,61.36,54,0,13.69
193,Port Hedland,AU,2022-03-09 23:55:30,-20.3167,118.5667,84.25,79,40,21.85
194,Sao Filipe,CV,2022-03-09 23:55:30,14.8961,-24.4956,69.98,71,84,12.15
195,Mnogovershinnyy,RU,2022-03-09 23:55:30,53.9353,139.9242,18.32,71,85,2.66
196,Atasu,KZ,2022-03-09 23:55:31,48.6814,71.6433,19.27,97,100,3.67
197,Thompson,CA,2022-03-09 23:54:54,55.7435,-97.8558,1.56,55,20,10.36
198,Sobolevo,RU,2022-03-09 23:55:31,54.4299,31.8996,8.24,93,10,9.66
199,Natal,BR,2022-03-09 23:52:36,-5.795,-35.2094,82.62,83,40,12.66
200,Katsuura,JP,2022-03-09 23:55:32,35.1333,140.3,48.31,59,13,8.81
